Time,Node,Type,Destination,Retransmitter,Metric,SeqNumber
+407381145.0ns,0,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:1d,3703,3
+408462958.0ns,50,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:32,1872,2
+408891843.0ns,44,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2c,4598,2
+408891843.0ns,44,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:2c,887,2
+408891843.0ns,44,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2c,4598,2
+408891847.0ns,41,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2c,4598,2
+408891847.0ns,41,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:2c,887,2
+408891847.0ns,41,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2c,4598,2
+409544316.0ns,50,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:32,2759,2
+409658330.0ns,43,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:2a,924,2
+410645674.0ns,50,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:32,2759,2
+410739288.0ns,43,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:2d,887,2
+411801735.0ns,0,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:1d,3707,2
+412862818.0ns,28,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:33,2759,2
+412864658.0ns,59,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:2c,1876,2
+413925252.0ns,47,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:3c,2763,2
+415905139.0ns,0,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:1d,3649,2
+416968062.0ns,59,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:2c,1839,2
+418068656.0ns,47,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:3c,2726,2
+418094622.0ns,55,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:23,3013,2
+418094622.0ns,55,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,887,2
+418094622.0ns,55,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:23,3013,2
+418094831.0ns,40,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:23,3021,2
+418094831.0ns,40,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,895,2
+418094831.0ns,40,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:23,3021,2
+418861128.0ns,34,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:38,887,2
+419298311.0ns,9,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2e,4598,2
+419298311.0ns,9,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:2e,887,2
+419298311.0ns,9,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2e,4598,2
+419921542.0ns,30,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:23,1774,2
+420065391.0ns,31,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:30,2837,2
+421083241.0ns,34,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:29,887,2
+421127645.0ns,45,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:0a,133,2
+422163655.0ns,30,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:23,1774,2
+422229373.0ns,31,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:30,2800,2
+423291065.0ns,59,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:2e,1027,2
+423292258.0ns,49,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:1f,2661,2
+424353949.0ns,0,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:1d,3646,2
+425415395.0ns,28,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:20,3744,2
+425604963.0ns,57,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:29,3908,2
+425604963.0ns,57,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:29,887,2
+425604963.0ns,57,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:29,3908,2
+426351894.0ns,40,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:3a,887,2
+426477313.0ns,47,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:3c,1914,2
+427412609.0ns,34,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:29,1774,2
+427413464.0ns,49,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:1f,2661,2
+428474875.0ns,30,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:23,2661,2
+428513948.0ns,31,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:30,1988,2
+429575016.0ns,0,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:1d,4631,2
+430636099.0ns,28,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:33,3646,2
+431716594.0ns,0,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:1d,4533,2
+432797677.0ns,28,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:33,3646,2
+434048175.0ns,38,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:0a,5078,2
+434048175.0ns,38,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:0a,480,2
+434048175.0ns,38,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:0a,5078,2
+434048210.0ns,16,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:0a,5485,2
+434048210.0ns,16,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:0a,887,2
+434048210.0ns,16,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:0a,5485,2
+434048285.0ns,7,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:0a,5485,2
+434048285.0ns,7,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:0a,887,2
+434048285.0ns,7,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:0a,5485,2
+434854801.0ns,9,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:11,139,2
+435624364.0ns,49,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:1f,3548,2
+435935449.0ns,45,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:0a,272,2
+437015930.0ns,59,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:2e,1166,2
+438076524.0ns,47,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:3c,2053,2
+438077961.0ns,9,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:08,970,2
+438079105.0ns,50,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:32,3646,2
+439141622.0ns,31,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:30,2127,2
+439142029.0ns,9,Add Reactive,00:00:00:00:00:27,00:00:00:00:00:27,55,2
+440204466.0ns,0,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:1d,4533,2
+441265549.0ns,28,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:33,4533,2
+441320950.0ns,5,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:08,6372,2
+441320950.0ns,5,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:08,887,2
+441320950.0ns,5,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:08,6372,2
+441320970.0ns,39,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:08,6372,2
+441320970.0ns,39,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:08,887,2
+441320970.0ns,39,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:08,6372,2
+441321096.0ns,20,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:08,6372,2
+441321096.0ns,20,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:08,887,2
+441321096.0ns,20,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:08,6372,2
+442067709.0ns,7,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:15,892,2
+442327424.0ns,50,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:32,3646,2
+443148375.0ns,9,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:08,1862,2
+443387995.0ns,28,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:33,4533,2
+444448490.0ns,0,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:1d,5420,2
+444450585.0ns,45,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:0a,1103,2
+445511816.0ns,7,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:28,887,2
+445512369.0ns,28,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:20,3707,2
+446574244.0ns,50,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:32,4533,2
+446574536.0ns,59,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:2e,1997,2
+447656355.0ns,0,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:1d,5420,2
+447656726.0ns,47,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:3c,2884,2
+448718020.0ns,28,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:20,2895,2
+448719268.0ns,9,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:08,1857,2
+449780610.0ns,45,Add Reactive,00:00:00:00:00:27,00:00:00:00:00:0a,188,2
+449781596.0ns,31,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:30,2958,2
+450862791.0ns,0,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:1d,4594,2
+450863288.0ns,59,Add Reactive,00:00:00:00:00:27,00:00:00:00:00:2e,1082,2
+451925107.0ns,0,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:1d,3782,2
+451925837.0ns,45,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:0a,1995,2
+452987635.0ns,7,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:06,137,2
+452987664.0ns,59,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:2e,2889,2
+454049594.0ns,47,Add Reactive,00:00:00:00:00:27,00:00:00:00:00:3c,1969,2
+454050123.0ns,28,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:33,5420,2
